Saggio,Molecola,Esito
AMMINE TERZIARIE (BOUCHARDAT),FENOTIAZINA,NEGATIVO
AMMINE TERZIARIE (BOUCHARDAT),CHININA SOLFATO,POSITIVO
AMMINE TERZIARIE (BOUCHARDAT),FENAZONE,POSITIVO
AMMINE TERZIARIE (BOUCHARDAT),ISONIAZIDE,POSITIVO
AMMINE TERZIARIE (BOUCHARDAT),LIDOCAINA HCl,POSITIVO
AMMINE TERZIARIE (BOUCHARDAT),METFORMINA HCl,POSITIVO
AMMINE TERZIARIE (BOUCHARDAT),NICOTINAMIDE,POSITIVO
AMMINE TERZIARIE (BOUCHARDAT),PROBENECID,POSITIVO
AMMINE TERZIARIE (BOUCHARDAT),PROCAINA HCl,POSITIVO
AMMINE TERZIARIE (BOUCHARDAT),PROCAINAMMIDE HCl,POSITIVO
BOUCHARDAT IN AMB BASICO (LATTATI),CALCIO GLICEROFOSFATO,NEGATIVO
BOUCHARDAT IN AMB BASICO (LATTATI),SODIO CITRATO,NEGATIVO
BOUCHARDAT IN AMB BASICO (LATTATI),SUCRALOSIO,NEGATIVO
BOUCHARDAT IN AMB BASICO (LATTATI),CALCIO LATTATO,POSITIVO
BOUCHARDAT IN AMB BASICO (CLORBUTANOLO),CLORBUTANOLO,POSITIVO
CaCl2 IN AMB BASICO (CITRATI),MANNITOLO,NEGATIVO
CaCl2 IN AMB BASICO (CITRATI),SUCRALOSIO,NEGATIVO
CaCl2 IN AMB BASICO (CITRATI),ACIDO CITRICO,POSITIVO
CaCl2 IN AMB BASICO (CITRATI),ACIDO TARTARICO,POSITIVO
CaCl2 IN AMB BASICO (CITRATI),LITIO CITRATO,POSITIVO
CaCl2 IN AMB BASICO (CITRATI),POTASSIO CITRATO,POSITIVO
CaCl2 IN AMB BASICO (CITRATI),POTASSIO TARTRATO,POSITIVO
CaCl2 IN AMB BASICO (CITRATI),SODIO CITRATO,POSITIVO
CHEN-KAO (FENIL-ALCHIL-AMMINE),EFEDRINA HCl,POSITIVO
CHEN-KAO (FENIL-ALCHIL-AMMINE),FENILEFRINA HCl,POSITIVO
CLORAMMINA T & CH2Cl2 (BROMURI E IODURI),ACIDO ASCORBICO,NEGATIVO
CLORAMMINA T & CH2Cl2 (BROMURI E IODURI),FUROSEMIDE,NEGATIVO
CLORAMMINA T & CH2Cl2 (BROMURI E IODURI),SODIO CITRATO,NEGATIVO
CLORAMMINA T (FENOTIAZINE),CISTEINA HCl,NEGATIVO
CLORAMMINA T (FENOTIAZINE),FTALILSULFATIAZOLO,NEGATIVO
CLORAMMINA T (FENOTIAZINE),IDROCLOROTIAZIDE,NEGATIVO
CLORAMMINA T (FENOTIAZINE),SACCARINA SODICA,NEGATIVO
CLORAMMINA T (FENOTIAZINE),CLORPROMAZINA HCl,POSITIVO
CLORAMMINA T (FENOTIAZINE),PROMETAZINA HCl,POSITIVO
DENIGES & KMnO4 (CITRATI),POTASSIO TARTRATO,DUBBIO
DENIGES & KMnO4 (CITRATI),ACIDO TARTARICO,NEGATIVO
DENIGES & KMnO4 (CITRATI),MANNITOLO,NEGATIVO
DENIGES & KMnO4 (CITRATI),POTASSIO TARTRATO,NEGATIVO
DENIGES & KMnO4 (CITRATI),SODIO ACETATO,NEGATIVO
DENIGES & KMnO4 (CITRATI),ACIDO CITRICO,POSITIVO
DENIGES & KMnO4 (CITRATI),LITIO CITRATO,POSITIVO
DENIGES & KMnO4 (CITRATI),SODIO CITRATO,POSITIVO
AMMINE PRIMARIE e NO2-AROM (DIAZO-COPULAZIONE),CHINIDINA SOLFATO,NEGATIVO
AMMINE PRIMARIE e NO2-AROM (DIAZO-COPULAZIONE),CHININA SOLFATO,NEGATIVO
AMMINE PRIMARIE e NO2-AROM (DIAZO-COPULAZIONE),METFORMINA HCl,NEGATIVO
AMMINE PRIMARIE e NO2-AROM (DIAZO-COPULAZIONE),NICOTINAMIDE,NEGATIVO
AMMINE PRIMARIE e NO2-AROM (DIAZO-COPULAZIONE),SODIO SALICILATO,NEGATIVO
AMMINE PRIMARIE e NO2-AROM (DIAZO-COPULAZIONE),SORBITOLO,NEGATIVO
AMMINE PRIMARIE e NO2-AROM (DIAZO-COPULAZIONE),SUCRALOSIO,NEGATIVO
AMMINE PRIMARIE e NO2-AROM (DIAZO-COPULAZIONE),BENZOCAINA,POSITIVO
AMMINE PRIMARIE e NO2-AROM (DIAZO-COPULAZIONE),DAPSONE,POSITIVO
AMMINE PRIMARIE e NO2-AROM (DIAZO-COPULAZIONE),METRONIDAZOLO,POSITIVO
AMMINE PRIMARIE e NO2-AROM (DIAZO-COPULAZIONE),NICLOSAMIDE,POSITIVO
AMMINE PRIMARIE e NO2-AROM (DIAZO-COPULAZIONE),PROCAINA HCl,POSITIVO
AMMINE PRIMARIE e NO2-AROM (DIAZO-COPULAZIONE),PROCAINAMMIDE HCl,POSITIVO
AMMINE PRIMARIE e NO2-AROM (DIAZO-COPULAZIONE),SODIO P-AMMINO SALICILATO,POSITIVO
AMMINE PRIMARIE e NO2-AROM (DIAZO-COPULAZIONE),SULFADIAZINA,POSITIVO
AMMINE PRIMARIE e NO2-AROM (DIAZO-COPULAZIONE),SULFAGUANIDINA,POSITIVO
AMMINE PRIMARIE e NO2-AROM (DIAZO-COPULAZIONE),SULFATIAZOLO,POSITIVO
AMMINE PRIMARIE e NO2-AROM (DIAZO-COPULAZIONE),TIAMINA HCl,POSITIVO
AMMINE TERZIARIE (DRAGENDORFF),BENZOCAINA,NEGATIVO
AMMINE TERZIARIE (DRAGENDORFF),ISONIAZIDE,NEGATIVO
AMMINE TERZIARIE (DRAGENDORFF),CHINIDINA SOLFATO,POSITIVO
AMMINE TERZIARIE (DRAGENDORFF),CHININA HCl,POSITIVO
AMMINE TERZIARIE (DRAGENDORFF),CHININA SOLFATO,POSITIVO
AMMINE TERZIARIE (DRAGENDORFF),CLORPROMAZINA HCl,POSITIVO
AMMINE TERZIARIE (DRAGENDORFF),FENAZONE,POSITIVO
AMMINE TERZIARIE (DRAGENDORFF),FENOTIAZINA,POSITIVO
AMMINE TERZIARIE (DRAGENDORFF),LIDOCAINA HCl,POSITIVO
AMMINE TERZIARIE (DRAGENDORFF),METFORMINA HCl,POSITIVO
AMMINE TERZIARIE (DRAGENDORFF),NICOTINAMIDE,POSITIVO
AMMINE TERZIARIE (DRAGENDORFF),PROBENECID,POSITIVO
AMMINE TERZIARIE (DRAGENDORFF),PROCAINA HCl,POSITIVO
AMMINE TERZIARIE (DRAGENDORFF),PROCAINAMMIDE HCl,POSITIVO
AMMINE TERZIARIE (DRAGENDORFF),PROMETAZINA HCl,POSITIVO
TTC (STEROIDI),DESAMETASONE SODIO FOSFATO,NEGATIVO
TTC (STEROIDI),PROGESTERONE,NEGATIVO
TTC (STEROIDI),SPIRONOLATTONE,NEGATIVO
TTC (STEROIDI),CORTISONE ACETATO,POSITIVO
TTC (STEROIDI),DESAMETASONE ACETATO,POSITIVO
TTC (STEROIDI),IDROCORTISONE,POSITIVO
TTC (STEROIDI),IDROCORTISONE ACETATO,POSITIVO
TTC (STEROIDI),PREDNISONE,POSITIVO
"FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …)",ACIDO ASCORBICO,NEGATIVO
"FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …)",ACIDO CITRICO,NEGATIVO
"FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …)",ACIDO TARTARICO,NEGATIVO
"FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …)",CALCIO GLICEROFOSFATO,NEGATIVO
"FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …)",CLORBUTANOLO,NEGATIVO
"FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …)",FRUTTOSIO,NEGATIVO
"FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …)",IDROCLOROTIAZIDE,NEGATIVO
"FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …)",LATTOSIO,NEGATIVO
"FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …)",MANNITOLO,NEGATIVO
"FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …)",NICOTINAMIDE,NEGATIVO
"FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …)",PROCAINAMMIDE HCl,NEGATIVO
"FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …)",SACCARINA SODICA,NEGATIVO
"FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …)",SACCAROSIO,NEGATIVO
"FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …)",SODIO ACETATO,NEGATIVO
"FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …)",SODIO CITRATO,NEGATIVO
"FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …)",SUCRALOSIO,NEGATIVO
"FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …)",SULFAGUANIDINA,NEGATIVO
"FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …)",TIAMINA HCl,NEGATIVO
"FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …)",TIMOLO,NEGATIVO
"FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …)",ACIDO ACETILSALICILICO,POSITIVO
"FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …)",ACIDO BENZOICO,POSITIVO
"FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …)",ACIDO NICOTINICO,POSITIVO
"FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …)",ACIDO TANNICO,POSITIVO
"FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …)",FENAZONE,POSITIVO
"FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …)",FENILEFRINA HCl,POSITIVO
"FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …)",FENOLO,POSITIVO
"FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …)",METILPARABEN,POSITIVO
"FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …)",PARACETAMOLO,POSITIVO
"FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …)",PIRIDOSSINA HCl,POSITIVO
"FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …)",PROPILPARABEN,POSITIVO
"FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …)",SODIO BENZOATO,POSITIVO
"FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …)",SODIO P-AMMINO SALICILATO,POSITIVO
"FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …)",SODIO SALICILATO,POSITIVO
FeCl3 + HCl o H2SO4 (FENAZONE E PROPIFENAZONE),NICOTINAMIDE,NEGATIVO
FeCl3 + HCl o H2SO4 (FENAZONE E PROPIFENAZONE),FENAZONE,POSITIVO
FeCl3 + HCl o H2SO4 (FENAZONE E PROPIFENAZONE),PROPIFENAZONE,POSITIVO
FeCl3-CONC (BENZOATI & SALICILATI),ACIDO SORBICO,NEGATIVO
FeCl3-CONC (BENZOATI & SALICILATI),DESAMETASONE SODIO FOSFATO,NEGATIVO
FeCl3-CONC (BENZOATI & SALICILATI),FRUTTOSIO,NEGATIVO
FeCl3-CONC (BENZOATI & SALICILATI),MANNITOLO,NEGATIVO
FeCl3-CONC (BENZOATI & SALICILATI),SODIO CITRATO,NEGATIVO
FeCl3-CONC (BENZOATI & SALICILATI),ACIDO SALICILICO,POSITIVO
FeCl3-CONC (BENZOATI & SALICILATI),SODIO BENZOATO,POSITIVO
FeCl3-CONC (BENZOATI & SALICILATI),SODIO P-AMMINO SALICILATO,POSITIVO
FeCl3-CONC (BENZOATI & SALICILATI),SODIO SALICILATO,POSITIVO
OSSIDAZIONE FEHLING,ACIDO ASCORBICO,NEGATIVO
OSSIDAZIONE FEHLING,ACIDO CITRICO,NEGATIVO
OSSIDAZIONE FEHLING,ACIDO TARTARICO,NEGATIVO
OSSIDAZIONE FEHLING,CALCIO GLICEROFOSFATO,NEGATIVO
OSSIDAZIONE FEHLING,PARACETAMOLO,NEGATIVO
OSSIDAZIONE FEHLING,PIRIDOSSINA HCl,NEGATIVO
OSSIDAZIONE FEHLING,PROCAINAMMIDE HCl,NEGATIVO
OSSIDAZIONE FEHLING,CLORBUTANOLO,POSITIVO
OSSIDAZIONE FEHLING,FRUTTOSIO,POSITIVO
OSSIDAZIONE FEHLING,ISONIAZIDE,POSITIVO
OSSIDAZIONE FEHLING,LATTOSIO,POSITIVO
OSSIDAZIONE FEHLING,MANNITOLO,POSITIVO
OSSIDAZIONE FEHLING,SACCAROSIO,POSITIVO
OSSIDAZIONE FEHLING,SORBITOLO,POSITIVO
OSSIDAZIONE FEHLING,SUCRALOSIO,POSITIVO
FENTON: FeSO4 + H2O2 (TARTRATI),MANNITOLO,NEGATIVO
FENTON: FeSO4 + H2O2 (TARTRATI),POTASSIO SORBATO,NEGATIVO
FENTON: FeSO4 + H2O2 (TARTRATI),SODIO ACETATO,NEGATIVO
FENTON: FeSO4 + H2O2 (TARTRATI),SODIO CITRATO,NEGATIVO
FENTON: FeSO4 + H2O2 (TARTRATI),SUCRALOSIO,NEGATIVO
FENTON: FeSO4 + H2O2 (TARTRATI),ACIDO TARTARICO,POSITIVO
FENTON: FeSO4 + H2O2 (TARTRATI),POTASSIO TARTRATO,POSITIVO
FeSO4 & H2SO4 (NITRATI),ACIDO NICOTINICO,NEGATIVO
FeSO4 & H2SO4 (NITRATI),BENZOCAINA,NEGATIVO
FeSO4 & H2SO4 (NITRATI),CAFFEINA,NEGATIVO
FeSO4 & H2SO4 (NITRATI),CALCIO PANTOTENATO,NEGATIVO
FeSO4 & H2SO4 (NITRATI),FENAZONE,NEGATIVO
FeSO4 & H2SO4 (NITRATI),FENILALANINA,NEGATIVO
FeSO4 & H2SO4 (NITRATI),METFORMINA HCl,NEGATIVO
FeSO4 & H2SO4 (NITRATI),NICOTINAMIDE,NEGATIVO
FeSO4 & H2SO4 (NITRATI),PROCAINA HCl,NEGATIVO
FeSO4 & H2SO4 (NITRATI),PROPIFENAZONE,NEGATIVO
FeSO4 & H2SO4 (NITRATI),ECONAZOLO NITRATO,POSITIVO
FILO Ni-Cr,ACIDO ASCORBICO,NEGATIVO
FILO Ni-Cr,ACIDO CITRICO,NEGATIVO
FILO Ni-Cr,ACIDO NICOTINICO,NEGATIVO
FILO Ni-Cr,ACIDO TARTARICO,NEGATIVO
FILO Ni-Cr,CLORBUTANOLO,NEGATIVO
FILO Ni-Cr,FRUTTOSIO,NEGATIVO
FILO Ni-Cr,FTALILSULFATIAZOLO,NEGATIVO
FILO Ni-Cr,LATTOSIO,NEGATIVO
FILO Ni-Cr,LIDOCAINA HCl,NEGATIVO
FILO Ni-Cr,MAGNESIO ASPARTATO,NEGATIVO
FILO Ni-Cr,MAGNESIO LATTATO,NEGATIVO
FILO Ni-Cr,PROPILPARABEN,NEGATIVO
FILO Ni-Cr,SUCRALOSIO,NEGATIVO
FILO Ni-Cr,SULFATIAZOLO,NEGATIVO
FILO Ni-Cr,TEOBROMINA,NEGATIVO
FILO Ni-Cr,CALCIO GLICEROFOSFATO,POSITIVO
FILO Ni-Cr,CALCIO LATTATO,POSITIVO
FILO Ni-Cr,CALCIO PANTOTENATO,POSITIVO
FILO Ni-Cr,CLORAMINA T,POSITIVO
FILO Ni-Cr,DESAMETASONE SODIO FOSFATO,POSITIVO
FILO Ni-Cr,LITIO CITRATO,POSITIVO
FILO Ni-Cr,POTASSIO ASPARTATO,POSITIVO
FILO Ni-Cr,POTASSIO SORBATO,POSITIVO
FILO Ni-Cr,POTASSIO TARTRATO,POSITIVO
FILO Ni-Cr,SACCARINA SODICA,POSITIVO
FILO Ni-Cr,SODIO ACETATO,POSITIVO
FILO Ni-Cr,SODIO ASCORBATO,POSITIVO
FILO Ni-Cr,SODIO BENZOATO,POSITIVO
FILO Ni-Cr,SODIO CITRATO,POSITIVO
FILO Ni-Cr,SODIO P-AMMINO SALICILATO,POSITIVO
FILO Ni-Cr,SODIO SALICILATO,POSITIVO
GIBBS (PIRIDOSSINA),NICOTINAMIDE,NEGATIVO
GIBBS (PIRIDOSSINA),PIRIDOSSINA HCl,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),CALCIO GLICEROFOSFATO,NEGATIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),TEOBROMINA,NEGATIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),ACETILCISTEINA,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),ACIDO ACETILSALICILICO,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),ACIDO ASCORBICO,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),ACIDO BENZOICO,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),ACIDO CITRICO,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),ACIDO NICOTINICO,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),ACIDO SALICILICO,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),ACIDO SORBICO,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),ACIDO TARTARICO,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),BENZOCAINA,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),CAFFEINA,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),CALCIO PANTOTENATO,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),CHINIDINA SOLFATO,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),CHININA HCl,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),CHININA SOLFATO,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),CISTEINA HCl,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),CLORALIO IDRATO,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),CLORBUTANOLO,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),CLORPROMAZINA HCl,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),DAPSONE,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),DIFENIDRAMINA HCl,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),ECONAZOLO NITRATO,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),EFEDRINA HCl,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),FENAZONE,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),FENILALANINA,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),FENILEFRINA HCl,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),FENOLO,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),FRUTTOSIO,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),FTALILSULFATIAZOLO,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),FUROSEMIDE,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),GLICINA,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),GLUCOSIO,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),IDROCLOROTIAZIDE,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),IDROCORTISONE,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),IDROCORTISONE ACETATO,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),IMIPRAMINA HCl,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),INDOMETACINA,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),ISONIAZIDE,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),LATTOSIO,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),LEUCINA,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),LIDOCAINA HCl,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),LISINA HCl,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),MAGNESIO LATTATO,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),MANNITOLO,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),METFORMINA HCl,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),METILPARABEN,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),METRONIDAZOLO,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),NICLOSAMIDE,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),NICOTINAMIDE,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),PAPAVERINA HCl,POSITIVO
