Molecola,SMILES,AMMINE PRIMARIE e NO2-AROM (DIAZO-COPULAZIONE),AMMINE TERZIARIE (BOUCHARDAT),AMMINE TERZIARIE (DRAGENDORFF),AMMINE TERZIARIE (MAYER),AgNO3 (ALOGENURI),BASE SCHIFF (SULFAMIDICI),BEILSTEIN (FILO Cu),FILO Ni-Cr,"FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …)",FeSO4 & H2SO4 (NITRATI),GRANDEZZE FISICHE (PUNTO FUSIONE),LASSAIGNE:ALOGENI,LASSAIGNE:AZOTO,LASSAIGNE:ZOLFO,NINIDRINA (AMINOACIDI),OSSIDAZIONE ACQUA DI BROMO,OSSIDAZIONE FEHLING,PROVA AL COCCIO,SOLUBILITA ACQUA,SOLUBILITA ETOH,SOLUBILITA HCL,SOLUBILITA NAOH
CALCIO GLUCONATO,C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O,,,,,,,,1,,,,,,,,,,1,1,1,1,1
CALCIO LATTATO,CC(C(=O)[O-])O.CC(C(=O)[O-])O,,,,,,,,1,,,,0,0,0,,,,1,1,,1,0
CALCIO PANTOTENATO,CC(C)(CO)[C@H](C(=O)NCCC(=O)[O-])O.CC(C)(CO)[C@H](C(=O)NCCC(=O)[O-])O,,,,,,,0,1,,0,1,,,,0,,,1,1,,,
CAPTOPRIL,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,,,,,,,0,,,,,,1,1,,,,1,1,1,1,1
CHINIDINA SOLFATO,COC1=CC2=C(C=CN=C2C=C1)[C@@H]([C@H]3C[C@@H]4CCN3C[C@@H]4C=C)O,0,,1,,0,0,0,,,,1,,1,1,,1,,1,1,,1,0
CHININA HCl,COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)O,,,1,,,,1,,,,1,,,,,,,1,1,,1,0
CHININA SOLFATO,COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)O,0,1,1,1,,,,,,,1,,1,1,,,,1,1,,,
CISTEINA HCl,C([C@@H](C(=O)O)N)S,,,,,1,,1,,,,1,,1,1,1,,,1,1,,1,1
CLORALIO IDRATO,C(C(Cl)(Cl)Cl)(O)O,,,,,,,1,,,,1,1,0,0,,,,1,1,1,1,
CLORAMINA T,CC1=CC=C(C=C1)S(=O)(=O)[N-]Cl,,,,,,,1,1,,,,,1,0,,,,1,1,,1,1
CLORBUTANOLO,CC(C)(C(Cl)(Cl)Cl)O,,,,,1,,1,0,0,,1,1,0,0,,0,1,1,1,1,0,0
CLOROCHINA BIFOSFATO,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl ,,,,,,,,,,,,,,,,,,1,1,,1,
CLORPROMAZINA HCl,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,,,1,,1,,1,,,,1,,1,1,0,,,1,1,,,
CORTISONE ACETATO,CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(CC(=O)[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)O,,,,,,,,,,,,,,,,,,1,0,0,0,0
DAPSONE,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,1,,,,,,,,,,1,,1,1,,0,,1,0,1,1,0
DESAMETASONE ACETATO,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COC(=O)C)O)C)O)F)C,,,,,,,,,,,,,,,,,,,,,,
DESAMETASONE SODIO FOSFATO,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COP(=O)([O-])[O-])O)C)O)F)C,,,,,,,,1,,,,,,,,,,1,1,,0,1
DIFENIDRAMINA HCl,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,,,,,1,,1,,,,1,,1,0,,,,,1,1,1,0
ECONAZOLO NITRATO,C1=CC(=CC=C1COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl.[N+](=O)(O)[O-],,,,,1,,1,,,1,1,,1,0,,,,1,0,1,0,0
EFEDRINA HCl,C[C@@H]([C@@H](C1=CC=CC=C1)O)NC,,,,,1,,1,,,,1,,1,0,0,,,1,1,1,,
FENAZONE,CC1=CC(=O)N(N1C)C2=CC=CC=C2,,1,1,0,0,,0,,1,0,1,,1,0,0,,,1,1,,1,1
FENILALANINA,C1=CC=C(C=C1)C[C@@H](C(=O)O)N,,,,,0,,0,,,0,1,,1,0,1,,,1,1,0,1,1
FENILEFRINA HCl,CNC[C@@H](C1=CC(=CC=C1)O)O,,,,,1,,1,,1,,1,,1,0,,,,1,1,,1,1
FENOLO,C1=CC=C(C=C1)O,,,,,,,,,1,,1,0,0,0,,,,1,1,,0,1
FENOTIAZINA,C1=CC=C2C(=C1)NC3=CC=CC=C3S2,,0,1,0,,,,,,,,,,,,,,,0,1,,
FRUTTOSIO,C1[C@H]([C@H]([C@@H](C(O1)(CO)O)O)O)O,,,,,,,0,0,0,,1,0,0,0,,,1,1,1,,,
FTALILSULFATIAZOLO,C1=CC=C(C(=C1)C(=O)NC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CS3)C(=O)O,,,,,0,1,0,0,,,1,,1,1,0,,,1,0,0,0,1
FUROSEMIDE,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,,,,,1,,,,,,1,,1,1,,,,1,0,,0,1
GLICINA,C(C(=O)O)N,,,,,0,,,,,,1,,,,1,,,1,1,1,1,1
GLUCOSIO,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,,,,,,,,,,,1,,,,,,,1,1,,,
IDROCLOROTIAZIDE,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,,,,,,0,1,,0,,1,,1,1,0,1,,1,1,,,1
IDROCORTISONE,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O,,,,,,,0,,,,1,,0,0,,0,,1,0,1,0,0
IDROCORTISONE ACETATO,CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)O)C)O,,,,,,,0,,,,1,,0,0,,,,1,,,,
IMIPRAMINA HCl,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,,1,1,1,1,,1,,,,1,,,,0,,,1,,1,0,0
INDOMETACINA,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,,,,,,0,,,,,1,,1,0,,,,,0,1,0,1
ISONIAZIDE,C1=CN=CC=C1C(=O)NN,,1,0,0,,,,,,,1,,1,0,,,1,1,1,1,1,1
LATTOSIO,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O,,,,,,,,0,0,,1,0,0,0,,,1,1,1,0,,1
LEUCINA,CC(C)C[C@@H](C(=O)O)N,,,,,,,,,,,1,,1,0,1,,,1,1,,,
LIDOCAINA HCl,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,,1,1,1,1,,1,0,,,1,,1,0,,,,1,1,1,1,0
LISINA HCl,C(CCN)C[C@@H](C(=O)O)N ,,,,,1,,1,,,,1,,,,,,,1,1,,,
LITIO CITRATO,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O,,,,,,,,1,,,,0,0,0,,,,1,1,,,
MAGNESIO ASPARTATO,C([C@@H](C(=O)[O-])N)C(=O)O.C([C@@H](C(=O)[O-])N)C(=O)O.O.O.O.O,,,,,,,,0,,,,,1,0,,,,1,1,0,1,0
MAGNESIO LATTATO,CC(C(=O)[O-])O.CC(C(=O)[O-])O,,,,,,,,0,,,1,0,0,0,,,,1,1,0,1,
MANNITOLO,C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,,,,,0,,0,,0,,1,0,0,0,,,1,1,1,0,1,1
METFORMINA HCl,CN(C)C(=N)N=C(N)N,0,1,1,0,1,,1,,,0,1,,1,0,0,,,1,1,,1,1
METILPARABEN,COC(=O)C1=CC=C(C=C1)O,,,,,0,,,,1,,1,0,0,0,,,,1,0,,0,1
METIONINA,CSCC[C@@H](C(=O)O)N,,,,,,,1,,,,,,1,1,1,,,1,1,,1,1
METRONIDAZOLO,CC1=NC=C(N1CCO)[N+](=O)[O-],1,,,,,,0,,,,1,,1,0,0,0,,1,1,1,1,
NICLOSAMIDE,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O,1,,,,,,,,,,1,,,,,,,1,0,,,
NICOTINAMIDE,C1=CC(=CN=C1)C(=O)N,0,1,1,,0,,0,,0,0,1,,1,0,0,,,1,1,1,1,1
NIFEDIPINA,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,,,,,,,,,,,,,,,,,,,0,1,,
PAPAVERINA HCl,COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC,,,,,,,,,,,1,,,,,,,,1,,,
PARACETAMOLO,CC(=O)NC1=CC=C(C=C1)O,,,,,,,,,1,,1,,,,0,,0,,1,,,1
PIRIDOSSINA HCl,CC1=NC=C(C(=C1O)CO)CO,,,,,,,,,1,,1,,1,0,0,,0,,1,,,
POTASSIO ASPARTATO,C([C@@H](C(=O)[O-])N)C(=O)[O-].C([C@@H](C(=O)[O-])N)C(=O)[O-],,,,,,,,1,,,,,1,0,1,,,,1,,,
POTASSIO CITRATO,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O,,,,,,,,,,,,,,,,,,,,,,
POTASSIO SORBATO,C=CC=CC(=O)[O-],,,,,,,,1,,,,0,0,0,,1,,1,1,,,
POTASSIO TARTRATO,C(C(C(=O)[O-])O)C(=O)O,,,,,,,,1,,,,0,0,0,,0,,1,1,,1,1
PREDNISONE,C[C@]12CC(=O)[C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C,,,,,,,,,,,1,0,0,0,,,,1,0,1,0,0
PROBENECID,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O,,1,1,1,,,,,,,1,,,,,,,,0,1,0,1
PROCAINA HCl,CCN(CC)CCOC(=O)C1=CC=C(C=C1)N,1,1,1,1,1,,1,,,0,1,,1,0,,,,1,1,,1,0
PROCAINAMMIDE HCl,CCN(CC)CCNC(=O)C1=CC=C(C=C1)N,1,1,1,1,,,,,0,,1,,1,0,0,,0,1,1,1,1,1
PROGESTERONE,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C,,,,,,,,,,,1,,,,,,,1,0,1,0,0
PROLINA,C1C[C@H](NC1)C(=O)O,,,,,0,,1,,,,,,1,0,1,,,1,1,,1,1
PROMETAZINA HCl,CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C,,,1,,1,,1,,,,1,,1,1,0,,,1,1,1,1,
PROPIFENAZONE,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)C(C)C,,,,,0,,0,,,0,1,,1,0,0,1,,1,1,,1,0
PROPILPARABEN,CCCOC(=O)C1=CC=C(C=C1)O,,,,,,,0,0,1,,1,0,0,0,,,,1,0,,0,1
SACCARINA,C1=CC=C2C(=C1)C(=O)NS2(=O)=O,,,,,,,0,,,,1,,1,1,,,,1,0,0,,1
SACCARINA SODICA,C1=CC=C2C(=C1)C(=O)[N-]S2(=O)=O,,,,,,,,1,0,,,,1,1,,1,,1,1,,,
SACCAROSIO,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O,,,,,,,0,,0,,1,,,,,,1,1,1,1,,
SCOPOLAMINA HBr,CN1[C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4.O.O.O.Br,,,,,,,,,,,1,,1,0,,,,1,1,,,
SERINA,C([C@@H](C(=O)O)N)O,,,,,,,0,,,,1,,1,0,1,,,1,1,,1,1
SODIO ACETATO,CC(=O)[O-],,,,,,,0,1,0,,,,,,,,,1,1,,1,
SODIO ASCORBATO,C([C@@H]([C@@H]1C(=C(C(=O)O1)O)[O-])O)O,,,,,,,,1,,,,0,0,0,,,,1,1,,,
SODIO BENZOATO,C1=CC=C(C=C1)C(=O)[O-],,,,,,,,1,1,,,,,,,,,1,1,0,0,1
SODIO CITRATO,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O,,,,,0,,0,1,0,,1,0,0,0,,,,1,1,,1,1
SODIO P-AMMINO SALICILATO,C1=CC(=C(C=C1N)O)C(=O)[O-],1,,,,,,0,1,1,,1,,1,0,0,,,1,1,0,0,1
SODIO SALICILATO,C1=CC=C(C(=C1)C(=O)[O-])O,0,,,,,,0,1,1,,1,0,0,0,,,,1,1,,0,1
SORBITOLO,C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O,0,,,,,,0,,,,1,0,0,0,,,1,1,1,0,1,1
SPIRONOLATTONE,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@@]2([C@@H]3[C@@H]1[C@@H]4CC[C@]5([C@]4(CC3)C)CCC(=O)O5)C,,,,,,,0,,,,1,,0,1,,,,1,0,1,0,0
SUCRALOSIO,C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CCl)O)O)CCl)O)O)Cl)O,0,,,,,0,1,0,0,,1,1,0,0,,,1,1,1,,,1
SULFADIAZINA,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,1,,,,0,1,0,,,,1,,1,1,,1,,1,0,,1,1
SULFAGUANIDINA,C1=CC(=CC=C1N)S(=O)(=O)N=C(N)N,1,,,,,1,,,0,,1,,1,1,0,1,,1,1,,1,0
SULFAMERAZINA,CC1=NC(=NC=C1)NS(=O)(=O)C2=CC=C(C=C2)N,,,,,0,1,,,,,1,,1,1,,,,1,0,,1,1
SULFAMETOSSIPIRIDAZINA,COC1=NN=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)N,,,,,,,,,,,1,,,,,,,,,,,
SULFANILAMIDE,C1=CC(=CC=C1N)S(=O)(=O)N,,,,,,1,,,,,1,,1,1,,,,1,1,,,
SULFATIAZOLO,C1=CC(=CC=C1N)S(=O)(=O)NC2=NC=CS2,1,,,,,1,0,0,,,1,,1,1,,,,1,1,,1,1
TEOBROMINA,CN1C=NC2=C1C(=O)NC(=O)N2C,,,,,0,,0,0,,,0,,1,0,,1,,1,0,,,1
TEOFILLINA,CN1C2=C(C(=O)N(C1=O)C)NC=N2,,,,,,,,,,,1,,1,0,0,,,1,1,,1,0
TIAMINA HCl,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO,1,,,,1,0,1,,0,,1,,,,0,1,,1,1,,,
TIMOLO,CC(C)(C)NC[C@@H](COC1=NSN=C1N2CCOCC2)O,,,,,,,,,0,,1,0,0,0,,,,1,1,1,0,1
TOLBUTAMIDE,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C,,,,,,,,,,,1,,1,1,,,,1,0,1,0,1
TREONINA,C[C@H]([C@@H](C(=O)O)N)O,,,,,,,,,,,1,,1,0,1,,,,1,,1,1
TRIPTOFANO,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,,,,,,,,,,,1,,1,0,1,,,1,1,,,
VALINA,CC(C)[C@@H](C(=O)O)N,,,,,,,,,,,,,,,,,,,0,,1,1
VANILLINA,COC1=C(C=CC(=C1)C=O)O,,,,,,,,,,,1,,,,,1,,,1,,0,1
