id;nome_saggio;smarts
35;H2SO4-DIL + FLUORESCENZA (ALC CHINOLINICI);c1ccc2nccc2c1
36;HCl + BaCl2 (SOLFATI);[S](=O)(=O)(=O)[O-]
37;HNO3 + AgNO3 (ACIDO ASCORBICO);C1C(C(=O)C(O1)C(O)C(O)O)
38;HNO3-CONC (FENOTIAZINE);c1ccc2c(c1)[S]c1ccc([N]2)cc1
39;IDROSSILAMMINA (ESTERI & AMMIDI);[$(C(=O)O[#6]),$(C(=O)N)]
40;LASSAIGNE:ALOGENI;[Cl,Br,I]
41;LASSAIGNE:AZOTO;"[N;!H0]"
42;LASSAIGNE:FOSFORO;[P]
43;LASSAIGNE:ZOLFO;[S]
44;LIEBERMANN (FENOLI p-LIBERA);c1ccc(O)cc1
45;MILLON (FENOLI p-OCCUPATA);c1ccc(cc1O)[!H]
46;MOHLER (LATTATI E TARTRATI);[$(C(C(O)C(=O)[O,#6])), $(C(C(O)C(O)C(=O)[O,#6])C(=O)[O,#6])]
47;MOLIBDICO & NH4OH (FOSFATI);[P](=O)([O-])[O-][O-]
48;MOLISCH (CARBOIDRATI);"[C;H1,H2,H3]([O])[C;H1,H2,H3]([O])[C;H1,H2,H3](=O)[C;H1,H2,H3]([O])"
49;MURESSIDE (XANTINE);c1ncnc2c1ncn2
51;NH4OH & Na2HPO4 (MAGNESIO);[Mg]
52;NH4OH B.M. (LATTOSIO);O[C@H]1[C@H](O)[C@H](O)[C@H](O)[C@H]1O[C@H]2[C@H](O)[C@H](O)[C@H](O)[C@H](O)[C@H]2O
53;NINIDRINA (AMINOACIDI);"[N;H1,H2,H3]-[C]-C(=O)[O,#6]"
50;NaNO2 + H2SO4 (FENAZONE);C1=CC=C2C(=C1)C(=O)NN2
54;ORGANOLETTICA;
55;OSSALATO AMMONIO (CALCIO);[Ca]
56;OSSIDAZIONE ACQUA DI BROMO;"[$([O;H1]),$([#6]=[#6])]"
57;OSSIDAZIONE FEHLING;"[C;H1,H2,H3](O)C=O"
58;OSSIDAZIONE KMnO4;"[$([C;!R]=[C;!R]),$([CH]=O),$([CH2][OH]),$([CH]([OH])[C])]"
59;PROVA AL COCCIO;
60;RESORCINA & FLUORESCENZA (SACCARINA E SALI);c1ccc2c(c1)nc(=O)S2
61;RESORCINA + NaOH (CLORALIO IDRATO);[Cl](=O)(=O)[O-]
62;RIDUZIONE GRUPPO NITRO (NO2-Ar);[c][N+](=O)[O-]
63;SAGGIO BIURETO;C(=O)N([C])C(=O)N
64;SAGGIO LEGAL (ACIDO ASCORBICO);C1C(C(=O)C(O1)C(O)C(O)O)
65;SELIWANOFF (CHETOESOSI);[C][C](=O)[C](O)
66;SOLUBILITA ACQUA;
67;SOLUBILITA ETOH;
68;SOLUBILITA HCL;
70;SOLUBILITA NAOH;
69;SOLUBILITA NaHCO3;
71;SPETTROSCOPIA;
72;TALLEIOCHINA (ALC CHINOLINICI);c1ccc2nccc2c1
73;TIOCROMO (TIAMINA HCl);c1cnc(nc1)Cc2nc(cs2)C(CO)C
74;TTC (STEROIDI);C1CCC2C(C1)CCC3C2CCC4C3C4
75;UREA & FLUORESCENZA (CITRATI);O=C(O)C(CO)(CO)C(=O)O
76;VANILLINA (ISONIAZIDE);c1cc(ncc1)C(=O)N[NH2,H1,H2,H3]
77;VITALI-MORIN;C1CCC2CCC3CCC4CCC(C4)C3C2C1O
78;ZINKE-KONIG (PIRIDINE);[a]1[a][a][a][a][n]1
